"","regio","year","type","duration","max_freq","min_freq","concavity"
"1","west",1985,"mo1",0.18966667,6223,2793,8
"2","west",1985,"mo16a",0.15633333,5287.666667,1997.466667,5
"3","west",1985,"mo16bb",0.16333333,4786.4,1886.2,7
"4","west",1985,"mo1aa",0.224,6326.2,3159.966667,12
"5","west",1985,"mo1j1",0.19966667,7153.033333,3236.7,6
"6","west",1985,"mo1j3",0.11933333,6697.7,3346,4
"7","west",1985,"mo24",0.18018519,5977.1,2234.403704,4
"8","west",1985,"mo24-2",0.17725,5715.775,2361.675,6
"9","west",1985,"mo24a",0.1535,6283.85,2809.866667,2
"10","west",1985,"mo24a0",0.107,5789.533333,2774.266667,1
"11","west",1985,"mo24as",0.16666667,6640.933333,2637,2
"12","west",1985,"mo6",0.11505556,5836.111111,3435.327778,3
"13","west",1985,"mo6b1",0.15894444,5422.022222,2469.105556,5
"14","west",1985,"mo6cc",0.13316667,5470.716667,3400.083334,5
"15","west",1985,"mo6e",0.15408333,5135.025,2166.483333,4
"16","west",1985,"mo6e1",0.08666667,5075,3165.9,5
"17","west",1985,"mo6f",0.15566667,5176.466667,2326.333333,6
"18","west",1985,"mo6gg",0.20166667,4909.266667,2044.733333,5
"19","west",1985,"mo79a",0.0975,5097.45,3138.9,4
"20","west",1985,"mo79bb",0.1005,3967.05,1995.7,3
"21","west",1985,"mo79c",0.09428571,3444.542857,1698.657143,3
"22","west",1985,"mo90",0.12524138,4055.886207,1813.575862,5
"23","west",1985,"mo90b",0.0735,3723.675,2199.6,7
"24","west",1985,"mo90b3",0.1185,3474.25,1551.85,5
"25","west",1985,"mo90d",0.1345,4849.05,1978.25,5
"26","west",1985,"mo91",0.1255,4234.9,2161.6,6
"27","west",1985,"mo91b2",0.1295,5013.5,2447.35,4
"28","west",1985,"mo91b5",0.144,4487.2,1857.6,4
"29","west",1985,"mo91brokes",0.156,4105.708333,1943.95,4
"30","west",1985,"mo91slash",0.1515,3909.05,1825.8,6
"31","west",1985,"mo92b1",0.1495,4688,1813.95,3
"32","west",1985,"mo92b2",0.122,4609,2095,1
"33","west",1985,"mo93a1",0.0855,4249.5,2662.9,2
"34","west",1985,"mo93a1a",0.22633333,5997.466667,2117.8,2
"35","west",1985,"mo98-1",0.1445,4335.4,1934.6,3
"36","west",1985,"mo98-1a",0.188,4944.7,1987.35,3
"37","west",1985,"mo6ch",0.167,4793.5,1917.4,6
"38","west",1985,"mo90c2",0.134,6966.5,2237,5
"39","west",1985,"mo16b1",0.178,5177,1725.7,7
"40","east",1985,"mo1",0.19417143,6133.6761904,2850.3409524,8
"41","east",1985,"mo1aa",0.24166667,6178.8,2994.033333,12
"42","east",1985,"mo1aaa",0.255,6066.8666665,2571.7833335,10
"43","east",1985,"mo1aaaswan",0.27266667,6304.233333,2431.833333,11
"44","east",1985,"mo1b",0.22085417,6006.77708338,2626.74375,10
"45","east",1985,"mo1c",0.20733333,5697.1,2685.966667,8
"46","east",1985,"mo1d",0.16633333,6892.966667,3589,9
"47","east",1985,"mo1f2",0.188,5497.666667,2571.366667,7
"48","east",1985,"mo1i",0.13608333,7260.02500025,3770.59166675,7
"49","east",1985,"mo1ii",0.14666667,6235.3,3553.066667,9
"50","east",1985,"mo1j",0.1475,5984,3117.7,6
"51","east",1985,"mo1j1",0.20258333,5854.1083335,2362.1083335,7
"52","east",1985,"mo1j2",0.08666667,5239.366667,3016.3,2
"53","east",1985,"mo1jj",0.204,5625.366667,2147.4,11
"54","east",1985,"mo1jswan",0.253625,5807.225,2092.98749975,9
"55","east",1985,"mo1m1",0.1525,4605.4,2046.85,5
"56","east",1985,"mo1m3",0.19786667,5777.36,2860.9133334,8
"57","east",1985,"mo6",0.147,4163.3,1644.8,3
"58","east",1985,"mo93aaa1",0.129,4672.05,2152.9,3
"59","east",1985,"mo98_0",0.0695,2691.6,1641.2,0
"60","east",1985,"mo98_1",0.14184211,4310.31578947,1901.26578947,3
"61","east",1985,"mo98_1z",0.1575,4521.05,2049.05,4
"62","east",1985,"mo98_2",0.10205263,3466.62368421,1776.96315789,2
"63","east",1985,"mo98_2aaa",0.11835714,4310.05714286,1915.02857143,2
"64","east",1985,"mo98a_2",0.104,3532,2018.3,1
"65","east",1985,"mo98a_3",0.127,3182,1523.8,4
"66","east",1985,"mo98a-3m1",0.116888888888889,3056.32222222222,1615.72222222222,2
"67","east",1985,"mo98a1",0.137,3836.50833333,1731.30833333,1
"68","east",1985,"mo98aa",0.121,3698.4,1685.4,1
"69","east",1985,"mo98b1",0.1045,3519,1483.25,0
"70","east",1985,"mo98-iz",0.155,4537.8,2109.1,4
"71","nova",1985,"mo1p33",0.20266667,4922.383333,2198.85,7
"72","nova",1985,"mo1p34",0.16,5549.5,2651.466667,9
"73","nova",1985,"mo1pp",0.21916667,5647.8,1880.1833335,9
"74","nova",1985,"mo1pp4",0.21633333,5944.15,1831.3,9
"75","nova",1985,"mo1ppp12",0.196,5755.11666667,2430.84444433,6
"76","nova",1985,"mo6cc",0.165,4945.233333,2343.133333,5
"77","nova",1985,"mo6cc3",0.15691667,5535.7916665,2747.8166665,6
"78","nova",1985,"mo6h2",0.35533333,5093.166667,1751.166667,11
"79","nova",1985,"mo6h3",0.316,5093.166667,1775.8,9
"80","newf",1985,"mo18",0.23044444,4996.17777767,2006.87777767,6
