1985_west,2005_west,2019_west,1985_east,2005_east,2019_east,1985_nova,2005_nova,2019_nova,1985_newf,2005_newf,2019_newf
25,42,43,45,148,96,3,6,11,14,21,18
17,32,27,44,126,82,3,3,6,9,20,17
16,30,24,41,72,47,2,2,4,8,13,9
10,19,24,14,44,29,1,2,3,5,8,9
9,19,20,14,39,24,1,2,2,4,7,8
9,14,18,9,28,16,1,1,2,4,6,7
6,14,16,8,22,15,1,1,2,4,6,7
5,14,14,7,16,14,1,1,2,3,5,6
5,13,13,5,13,12,1,1,2,3,5,5
4,13,12,5,11,11,1,1,1,3,3,3
4,9,11,5,10,10,,1,1,2,3,3
3,8,10,4,8,9,,1,1,2,3,3
3,8,8,4,6,8,,1,1,2,3,2
3,8,8,2,5,7,,1,1,2,3,2
2,7,6,2,5,6,,1,1,2,2,2
2,7,6,2,5,6,,1,1,2,2,2
2,7,5,2,5,5,,1,1,1,1,2
2,6,5,2,4,4,,1,1,1,1,2
2,5,5,2,4,4,,1,1,1,1,2
2,5,5,1,3,3,,,1,1,1,1
2,4,5,1,3,3,,,1,1,1,1
2,4,5,1,3,3,,,,1,1,1
2,4,4,1,3,3,,,,1,1,1
1,4,4,1,2,3,,,,1,1,1
1,4,4,1,2,3,,,,1,1,1
1,4,4,1,2,3,,,,1,1,1
1,4,3,1,2,2,,,,1,1,1
1,4,3,1,2,2,,,,1,1,1
1,3,3,1,2,2,,,,1,,1
1,3,3,1,2,2,,,,,,1
1,3,3,1,2,2,,,,,,1
1,2,3,1,2,2,,,,,,1
1,2,2,1,2,2,,,,,,1
1,2,2,1,2,2,,,,,,1
1,2,2,,1,2,,,,,,1
1,2,2,,1,2,,,,,,1
1,2,2,,1,2,,,,,,1
1,2,2,,1,2,,,,,,1
1,2,2,,1,2,,,,,,1
1,2,2,,1,1,,,,,,1
1,1,2,,1,1,,,,,,1
1,1,2,,1,1,,,,,,1
1,1,2,,1,1,,,,,,1
1,1,2,,1,1,,,,,,1
1,1,2,,1,1,,,,,,1
1,1,1,,1,1,,,,,,
1,1,1,,1,1,,,,,,
1,1,1,,1,1,,,,,,
1,1,1,,1,1,,,,,,
1,1,1,,1,1,,,,,,
,1,1,,1,1,,,,,,
,1,1,,1,1,,,,,,
,1,1,,1,1,,,,,,
,1,1,,1,1,,,,,,
,1,1,,1,1,,,,,,
,1,1,,1,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,1,1,,,1,,,,,,
,,1,,,1,,,,,,
,,1,,,1,,,,,,
,,1,,,1,,,,,,
,,1,,,1,,,,,,
,,1,,,,,,,,,
