regiolect,survive,type,duration,max_freq,min_freq,concavity
west,1,MO1,0.18966667,6223,2793,9
west,1,MO16A,0.15633333,5287.666667,1997.466667,6
west,1,MO16BB,0.16333333,4786.4,1886.2,8
west,0,MO1AA,0.224,6326.2,3159.966667,13
west,0,MO1J1,0.19966667,7153.033333,3236.7,7
west,0,MO1J3,0.11933333,6697.7,3346,5
west,1,MO24,0.18018519,5977.1,2234.403704,5
west,1,MO24-2,0.17725,5715.775,2361.675,7
west,1,MO24A,0.1535,6283.85,2809.866667,3
west,0,MO24A0,0.107,5789.533333,2774.266667,2
west,0,MO24AS,0.16666667,6640.933333,2637,3
west,1,MO6,0.11505556,5836.111111,3435.327778,4
west,1,MO6B1,0.15894444,5422.022222,2469.105556,6
west,1,MO6CC,0.13316667,5470.716667,3400.083334,6
west,1,MO6E,0.15408333,5135.025,2166.483333,5
west,0,MO6E1,0.08666667,5075,3165.9,6
west,1,MO6F,0.15566667,5176.466667,2326.333333,7
west,1,MO6GG,0.20166667,4909.266667,2044.733333,6
west,1,MO79A,0.0975,5097.45,3138.9,5
west,1,MO79BB,0.1005,3967.05,1995.7,4
west,1,MO79C,0.09428571,3444.542857,1698.657143,4
west,1,MO90,0.12524138,4055.886207,1813.575862,6
west,1,MO90B,0.0735,3723.675,2199.6,8
west,1,MO90B3,0.1185,3474.25,1551.85,6
west,0,MO90D,0.1345,4849.05,1978.25,6
west,1,MO91,0.1255,4234.9,2161.6,7
west,1,MO91B2,0.1295,5013.5,2447.35,5
west,1,MO91B5,0.144,4487.2,1857.6,5
west,1,MO91BROKES,0.156,4105.708333,1943.95,5
west,1,MO91slash,0.1515,3909.05,1825.8,7
west,0,MO92B1,0.1495,4688,1813.95,4
west,0,MO92B2,0.122,4609,2095,2
west,1,MO93A1,0.0855,4249.5,2662.9,3
west,0,MO93A1A,0.22633333,5997.466667,2117.8,3
west,1,MO98-1,0.1445,4335.4,1934.6,4
west,0,MO98-1A,0.188,4944.7,1987.35,4
east,1,MO1,0.19417143,6133.67619,2850.340952,9
east,1,MO1AA,0.24166667,6178.8,2994.033333,13
east,1,MO1AAA,0.255,6066.866667,2571.783334,11
east,1,MO1AAASWAN,0.27266667,6304.233333,2431.833333,12
east,1,MO1B,0.22085417,6006.777083,2626.74375,11
east,1,MO1C,0.20733333,5697.1,2685.966667,9
east,1,MO1D,0.16633333,6892.966667,3589,10
east,0,MO1F2,0.188,5497.666667,2571.366667,8
east,1,MO1I,0.13608333,7260.025,3770.591667,8
east,1,MO1II,0.14666667,6235.3,3553.066667,10
east,1,MO1J,0.1475,5984,3117.7,7
east,1,MO1J1,0.20258333,5854.108334,2362.108334,8
east,0,MO1J2,0.08666667,5239.366667,3016.3,3
east,1,MO1JJ,0.204,5625.366667,2147.4,12
east,1,MO1JSWAN,0.253625,5807.225,2092.9875,10
east,0,MO1M1,0.1525,4605.4,2046.85,6
east,1,MO1M3,0.19786667,5777.36,2860.913333,9
east,0,MO6,0.147,4163.3,1644.8,4
east,0,MO93AAA1,0.129,4672.05,2152.9,4
east,1,MO98_0,0.0695,2691.6,1641.2,1
east,1,MO98_1,0.14184211,4310.315789,1901.265789,4
east,0,MO98_1Z,0.1575,4521.05,2049.05,5
east,1,MO98_2,0.10205263,3466.623684,1776.963158,3
east,1,MO98_2AAAA,0.11835714,4310.057143,1915.028571,3
east,1,MO98A_2,0.104,3532,2018.3,2
east,1,MO98A_3,0.127,3182,1523.8,5
east,1,MO98A_3MI,0.116888889,3056.322222,1615.722222,3
east,0,MO98A1,0.137,3836.508333,1731.308333,2
east,0,MO98AA,0.121,3698.4,1685.4,2
east,0,MO98B1,0.1045,3519,1483.25,1
nova,0,MO1P33,0.20266667,4922.383333,2198.85,8
nova,0,MO1P34,0.16,5549.5,2651.466667,10
nova,1,MO1PP,0.21916667,5647.8,1880.183334,10
nova,0,MO1PP4,0.21633333,5944.15,1831.3,10
nova,0,MO1PPP12,0.196,5755.116667,2430.844444,7
nova,1,MO6CC,0.165,4945.233333,2343.133333,6
nova,1,MO6CC3,0.15691667,5535.791667,2747.816667,7
nova,0,MO6H2,0.35533333,5093.166667,1751.166667,12
nova,0,MO6H3,0.316,5093.166667,1775.8,10
newf,1,MO18,0.23044444,4996.177778,2006.877778,7
newf,1,MO18A,0.21666667,5858.204444,2414.82,9
newf,1,MO18B,0.20111111,6134.188889,2381.822222,8
newf,0,MO18B1,0.22988889,5590.233333,2336.533333,8
newf,1,MO18B2,0.23038095,5343.357143,2153.361905,10
newf,1,MO18C,0.155,5341.8,2891.833333,4
newf,0,MO18D,0.20277778,4998.222222,1860.755556,8
newf,1,MO18D1,0.2315,5861.45,2214.866667,11
newf,0,MO18D1R,0.36211111,5756.6,1680.833333,14
newf,0,MO18D1R1,0.283,5330,2792.75,12
newf,0,MO18D1R2,0.3725,7648.15,2208.65,9
newf,1,MO18D2,0.2245,4915.1,1860.15,8
newf,0,MO18D2R2,0.317,6745.733333,2133.466667,8
newf,1,MO18D3,0.15866667,4587.433333,2268.533333,10
newf,0,MO18DD,0.219,5505.033334,2124.216667,10
newf,1,MO18H_L,0.10675,5494.25,2929.625,5
newf,1,MO18HH,0.217,5918.66,2211.186666,11
newf,1,MO18I,0.2295,6278.65,2370.4,10
newf,1,MO18I_1,0.217333333,4934.261111,1953.438889,8
newf,0,MO18I_2,0.16766667,4391.4,1972.4,6
newf,0,MO18I1X1,0.2205,6670.9,2356.8,7
newf,1,MO18J,0.27066667,5315.5,1934.733333,8
newf,0,MO18L,0.23166667,5926.233333,2336.4,12
newf,0,MO18NoM4,0.294,7140.4,1997.8,12
newf,0,MO87A,0.098,4925.5,3162.866667,5
newf,0,MO91B3,0.196,5220.45,2153.9,7
